Canonicalized SMILES,Standardized SMILES,Canonicalized Taste,Source,Dataset_Source,Column1,SEQUENCE,Parent_SMILES
OCC1OC(OC2(CCl)OC(CCl)C(Cl)C2O)C(O)C(O)C1O,OCC1OC(OC2(CCl)OC(CCl)C(Cl)C2O)C(O)C(O)C1O,sweet,chemtastes_db,FartDB,,,
OCC(O)C1OCC(O)C1O,OCC(O)C1OCC(O)C1O,sweet,chemtastes_db,FartDB,,,
OCC1OCC(O)C1O,OCC1OCC(O)C1O,sweet,chemtastes_db,FartDB,,,
COc1ccc(C2COc3ccccc3O2)cc1O,COc1ccc(C2COc3ccccc3O2)cc1O,sweet,chemtastes_db,FartDB,,,
OCC1OC(OC2(CCl)OC(CO)C(Cl)C2O)C(O)C(O)C1O,OCC1OC(OC2(CCl)OC(CO)C(Cl)C2O)C(O)C(O)C1O,sweet,chemtastes_db,FartDB,,,
OCC1OCC(O)C(O)C1O,OCC1OCC(O)C(O)C1O,sweet,chemtastes_db,FartDB,,,
OCC1OC(OC2(CCl)OC(CCl)C(O)C2O)C(O)C(O)C1O,OCC1OC(OC2(CCl)OC(CCl)C(O)C2O)C(O)C(O)C1O,sweet,chemtastes_db,FartDB,,,
OC1C(CCl)OC(O)(CCl)C1O,OC1C(CCl)OC(O)(CCl)C1O,sweet,chemtastes_db,FartDB,,,
COCC1OC(COC)(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,COCC1OC(COC)(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,sweet,chemtastes_db,FartDB,,,
CSCC1OC(O)(CSC)C(O)C1O,CSCC1OC(O)(CSC)C(O)C1O,sweet,chemtastes_db,FartDB,,,
CC1(C(=O)O)CCCC2c3ccccc3C(C(=O)O)C21,CC1(C(=O)O)CCCC2c3ccccc3C(C(=O)O)C21,sweet,chemtastes_db,FartDB,,,
CC(=O)C1CC=C(C=NO)CC1,CC(=O)C1CC=C(C=NO)CC1,sweet,chemtastes_db,FartDB,,,
NC1(C(=O)O)CCC1,NC1(C(=O)O)CCC1,sweet,chemtastes_db,FartDB,,,
OCC1OC(OC2(CCl)OC(CO)C(O)C2O)C(O)C(O)C1O,OCC1OC(OC2(CCl)OC(CO)C(O)C2O)C(O)C(O)C1O,sweet,chemtastes_db,FartDB,,,
ON=CC1=CCCCC1,ON=CC1=CCCCC1,sweet,chemtastes_db,FartDB,,,
ON=CC1=CCCC1,ON=CC1=CCCC1,sweet,chemtastes_db,FartDB,,,
CC1(OC2OC(CO)C(O)C(O)C2O)OC(CO)C(O)C1O,CC1(OC2OC(CO)C(O)C(O)C2O)OC(CO)C(O)C1O,sweet,chemtastes_db,FartDB,,,
O=C(O)CNC(=Nc1ccc2cn[nH]c2c1)NC1CCCCCCC1,O=C(O)CNC(=Nc1ccc2cn[nH]c2c1)NC1CCCCCCC1,sweet,chemtastes_db,FartDB,,,
CC(NC(=Nc1cnc2cn[nH]c2c1)NCC(=O)O)c1ccccc1,CC(NC(=Nc1cnc2cn[nH]c2c1)NCC(=O)O)c1ccccc1,sweet,chemtastes_db,FartDB,,,
CC1=CC=CCC1,CC1=CC=CCC1,sweet,chemtastes_db,FartDB,,,
CC1=CCCCC1,CC1=CCCCC1,sweet,chemtastes_db,FartDB,,,
COCC1(OC2OC(CO)C(O)C(O)C2O)OC(CO)C(O)C1O,COCC1(OC2OC(CO)C(O)C(O)C2O)OC(CO)C(O)C1O,sweet,chemtastes_db,FartDB,,,
CC1=C(C)CC(C(=O)O)(S(=O)(=O)c2ccccc2)C(C)C1,CC1=C(C)CC(C(=O)O)(S(=O)(=O)c2ccccc2)C(C)C1,sweet,chemtastes_db,FartDB,,,
CC1=C(C)CC(C(=O)O)(S(=O)(=O)c2ccccc2)CC1,CC1=C(C)CC(C(=O)O)(S(=O)(=O)c2ccccc2)CC1,sweet,chemtastes_db,FartDB,,,
CC1=CCC(C(=O)O)(S(=O)(=O)c2ccccc2)C(C)C1,CC1=CCC(C(=O)O)(S(=O)(=O)c2ccccc2)C(C)C1,sweet,chemtastes_db,FartDB,,,
CC1=CCC(C(=O)O)(S(=O)(=O)c2ccccc2)CC1,CC1=CCC(C(=O)O)(S(=O)(=O)c2ccccc2)CC1,sweet,chemtastes_db,FartDB,,,
O=C(O)c1ccccc1C(=O)c1ccc(O)c(O)c1,O=C(O)c1ccccc1C(=O)c1ccc(O)c(O)c1,sweet,chemtastes_db,FartDB,,,
COc1c(O)cc2c(c1O)C(=O)C(O)C(c1ccc(O)c(O)c1)O2,COc1c(O)cc2c(c1O)C(=O)C(O)C(c1ccc(O)c(O)c1)O2,sweet,chemtastes_db,FartDB,,,
COc1c(O)cc2c(c1O)C(=O)C(OC(C)=O)C(c1ccc(O)c(O)c1)O2,COc1c(O)cc2c(c1O)C(=O)C(OC(C)=O)C(c1ccc(O)c(O)c1)O2,sweet,chemtastes_db,FartDB,,,
COc1ccc(C(=O)c2ccccc2C(=O)O)cc1O,COc1ccc(C(=O)c2ccccc2C(=O)O)cc1O,sweet,chemtastes_db,FartDB,,,
COc1ccc(OCc2ccccc2C(=O)O)cc1O,COc1ccc(OCc2ccccc2C(=O)O)cc1O,sweet,chemtastes_db,FartDB,,,
COc1ccc(C2OC(=O)c3ccccc3O2)cc1O,COc1ccc(C2OC(=O)c3ccccc3O2)cc1O,sweet,chemtastes_db,FartDB,,,
COc1ccc(C2Oc3ccccc3O2)cc1O,COc1ccc(C2Oc3ccccc3O2)cc1O,sweet,chemtastes_db,FartDB,,,
COc1ccc(C2OC(=O)c3ccccc3S2)cc1O,COc1ccc(C2OC(=O)c3ccccc3S2)cc1O,sweet,chemtastes_db,FartDB,,,
COc1ccc(C2Oc3ccccc3S2)cc1O,COc1ccc(C2Oc3ccccc3S2)cc1O,sweet,chemtastes_db,FartDB,,,
COc1ccc(C2CSc3ccccc3S2)cc1O,COc1ccc(C2CSc3ccccc3S2)cc1O,sweet,chemtastes_db,FartDB,,,
COc1ccc(C2CSc3cc(O)ccc3O2)cc1O,COc1ccc(C2CSc3cc(O)ccc3O2)cc1O,sweet,chemtastes_db,FartDB,,,
COc1ccc(C2CSc3ccccc3O2)cc1O,COc1ccc(C2CSc3ccccc3O2)cc1O,sweet,chemtastes_db,FartDB,,,
COc1ccc(C2CS(=O)(=O)c3ccccc3O2)cc1O,COc1ccc(C2CS(=O)(=O)c3ccccc3O2)cc1O,sweet,chemtastes_db,FartDB,,,
COc1ccc(C2SCc3c(O)cccc3S2)cc1O,COc1ccc(C2SCc3c(O)cccc3S2)cc1O,sweet,chemtastes_db,FartDB,,,
COc1ccc(C2OCc3c(O)cccc3S2)cc1O,COc1ccc(C2OCc3c(O)cccc3S2)cc1O,sweet,chemtastes_db,FartDB,,,
COc1ccc(C2CCc3ccccc3S2)cc1O,COc1ccc(C2CCc3ccccc3S2)cc1O,sweet,chemtastes_db,FartDB,,,
COc1ccc(C2SCc3ccccc3S2)cc1O,COc1ccc(C2SCc3ccccc3S2)cc1O,sweet,chemtastes_db,FartDB,,,
COc1ccc(C2Sc3ccccc3S2)cc1O,COc1ccc(C2Sc3ccccc3S2)cc1O,sweet,chemtastes_db,FartDB,,,
COc1ccc(C2Oc3ccccc3CS2)cc1O,COc1ccc(C2Oc3ccccc3CS2)cc1O,sweet,chemtastes_db,FartDB,,,
COc1ccc(C2OCc3ccccc3S2)cc1S,COc1ccc(C2OCc3ccccc3S2)cc1S,sweet,chemtastes_db,FartDB,,,
O=C(O)c1ccccc1C(=O)c1ccc(Cl)cc1,O=C(O)c1ccccc1C(=O)c1ccc(Cl)cc1,sweet,chemtastes_db,FartDB,,,
CCOc1ccc(C(=O)c2ccccc2C(=O)O)cc1,CCOc1ccc(C(=O)c2ccccc2C(=O)O)cc1,sweet,chemtastes_db,FartDB,,,
CCc1ccc(S(=O)(=O)C(C(=O)O)C(C)C)cc1,CCc1ccc(S(=O)(=O)C(C(=O)O)C(C)C)cc1,sweet,chemtastes_db,FartDB,,,
O=C(O)c1ccccc1C(=O)c1ccc(O)cc1,O=C(O)c1ccccc1C(=O)c1ccc(O)cc1,sweet,chemtastes_db,FartDB,,,
COc1ccc(C(=O)c2ccccc2C(=O)O)cc1,COc1ccc(C(=O)c2ccccc2C(=O)O)cc1,sweet,chemtastes_db,FartDB,,,
COc1ccc([S+]([O-])c2ccccc2C(=O)O)cc1,COc1ccc([S+]([O-])c2ccccc2C(=O)O)cc1,sweet,chemtastes_db,FartDB,,,
Cc1ccc(C(=O)c2ccccc2C(=O)O)cc1,Cc1ccc(C(=O)c2ccccc2C(=O)O)cc1,sweet,chemtastes_db,FartDB,,,
Cc1ccc(S(=O)(=O)C(C(=O)O)C(C)C)cc1,Cc1ccc(S(=O)(=O)C(C(=O)O)C(C)C)cc1,sweet,chemtastes_db,FartDB,,,
CCC(C)C(C(=O)O)S(=O)(=O)c1ccccc1,CCC(C)C(C(=O)O)S(=O)(=O)c1ccccc1,sweet,chemtastes_db,FartDB,,,
CC1(C)CC1(C(=O)O)S(=O)(=O)c1ccc(O)cc1,CC1(C)CC1(C(=O)O)S(=O)(=O)c1ccc(O)cc1,sweet,chemtastes_db,FartDB,,,
CCOc1ccc(CCC(=O)c2ccccc2O)cc1O,CCOc1ccc(CCC(=O)c2ccccc2O)cc1O,sweet,chemtastes_db,FartDB,,,
COc1ccc(CCC(=O)c2ccccc2O)cc1O,COc1ccc(CCC(=O)c2ccccc2O)cc1O,sweet,chemtastes_db,FartDB,,,
COc1ccc(CCC(=O)c2c(O)cc(O)c(C(=O)O)c2O)cc1O,COc1ccc(CCC(=O)c2c(O)cc(O)c(C(=O)O)c2O)cc1O,sweet,chemtastes_db,FartDB,,,
CC(C)(OCC(=O)O)C1CC=C(C=NO)CC1,CC(C)(OCC(=O)O)C1CC=C(C=NO)CC1,sweet,chemtastes_db,FartDB,,,
O=C(Oc1ccc([N+](=O)[O-])cc1)Oc1cc(C2OCc3ccccc3S2)ccc1O,O=C(Oc1ccc([N+](=O)[O-])cc1)Oc1cc(C2OCc3ccccc3S2)ccc1O,sweet,chemtastes_db,FartDB,,,
COc1ccc(C2OCc3ccccc3O2)cc1OC(=O)Nc1ccc([N+](=O)[O-])cc1,COc1ccc(C2OCc3ccccc3O2)cc1OC(=O)Nc1ccc([N+](=O)[O-])cc1,sweet,chemtastes_db,FartDB,,,
COc1ccc(C2OCc3ccccc3S2)cc1OC(=O)Nc1ccc([N+](=O)[O-])cc1,COc1ccc(C2OCc3ccccc3S2)cc1OC(=O)Nc1ccc([N+](=O)[O-])cc1,sweet,chemtastes_db,FartDB,,,
O=C(COc1cccc(C2OCc3ccccc3S2)c1)c1ccc([N+](=O)[O-])cc1,O=C(COc1cccc(C2OCc3ccccc3S2)c1)c1ccc([N+](=O)[O-])cc1,sweet,chemtastes_db,FartDB,,,
CN(C)c1ccc(C(=O)c2ccccc2C(=O)O)cc1,CN(C)c1ccc(C(=O)c2ccccc2C(=O)O)cc1,sweet,chemtastes_db,FartDB,,,
CC(C)OC(=O)C(C)NC(=O)C(N)C(=O)O,CC(C)OC(=O)C(C)NC(=O)C(N)C(=O)O,sweet,chemtastes_db,FartDB,,,
Nc1ccccc1C(=O)O,Nc1ccccc1C(=O)O,sweet,chemtastes_db,FartDB,,,
O=C(O)CNC(=Nc1ccc(Cl)nc1)NC1CCCCCCC1,O=C(O)CNC(=Nc1ccc(Cl)nc1)NC1CCCCCCC1,sweet,chemtastes_db,FartDB,,,
N#Cc1ccc(N=C(NCC(=O)O)NC2CCCCCCCC2)cn1,N#Cc1ccc(N=C(NCC(=O)O)NC2CCCCCCCC2)cn1,sweet,chemtastes_db,FartDB,,,
N#Cc1ccc(N=C(NCC(=O)O)NC2CCCCCCC2)cn1,N#Cc1ccc(N=C(NCC(=O)O)NC2CCCCCCC2)cn1,sweet,chemtastes_db,FartDB,,,
N#Cc1ccc(N=C(NCC(=O)O)NC(c2ccccc2)c2ccco2)cn1,N#Cc1ccc(N=C(NCC(=O)O)NC(c2ccccc2)c2ccco2)cn1,sweet,chemtastes_db,FartDB,,,
O=C(O)C(C1CCCC1)S(=O)(=O)c1ccccc1,O=C(O)C(C1CCCC1)S(=O)(=O)c1ccccc1,sweet,chemtastes_db,FartDB,,,
CCOc1ccc(CCc2ccccc2)cc1O,CCOc1ccc(CCc2ccccc2)cc1O,sweet,chemtastes_db,FartDB,,,
COc1ccc(CC(=O)c2ccccc2O)cc1O,COc1ccc(CC(=O)c2ccccc2O)cc1O,sweet,chemtastes_db,FartDB,,,
COc1ccc(CCCc2ccccc2)cc1O,COc1ccc(CCCc2ccccc2)cc1O,sweet,chemtastes_db,FartDB,,,
COc1ccc(CSc2ccccc2)cc1O,COc1ccc(CSc2ccccc2)cc1O,sweet,chemtastes_db,FartDB,,,
COc1ccc(CCc2ccc3c(c2)OCO3)cc1O,COc1ccc(CCc2ccc3c(c2)OCO3)cc1O,sweet,chemtastes_db,FartDB,,,
COc1ccc(CCc2ccccc2OC)cc1O,COc1ccc(CCc2ccccc2OC)cc1O,sweet,chemtastes_db,FartDB,,,
COc1ccc(CCc2ccccc2C)cc1O,COc1ccc(CCc2ccccc2C)cc1O,sweet,chemtastes_db,FartDB,,,
COc1cccc(CCc2ccc(OC)c(O)c2)c1,COc1cccc(CCc2ccc(OC)c(O)c2)c1,sweet,chemtastes_db,FartDB,,,
COc1ccc(CCc2cccc(C)c2)cc1O,COc1ccc(CCc2cccc(C)c2)cc1O,sweet,chemtastes_db,FartDB,,,
CC=C(C)C,CC=C(C)C,sweet,chemtastes_db,FartDB,,,
CC(NC(=Nc1ccc2ccccc2c1)NCC(=O)O)c1ccccc1,CC(NC(=Nc1ccc2ccccc2c1)NCC(=O)O)c1ccccc1,sweet,chemtastes_db,FartDB,,,
CC(C)C(C)(C(=O)O)S(=O)(=O)c1ccccc1,CC(C)C(C)(C(=O)O)S(=O)(=O)c1ccccc1,sweet,chemtastes_db,FartDB,,,
CC(C)C(C(=O)O)S(=O)(=O)c1ccccc1,CC(C)C(C(=O)O)S(=O)(=O)c1ccccc1,sweet,chemtastes_db,FartDB,,,
CCC(C(=O)O)S(=O)(=O)c1ccccc1,CCC(C(=O)O)S(=O)(=O)c1ccccc1,sweet,chemtastes_db,FartDB,,,
CCOC(=O)c1ccc(NC(=S)NC(CC(=O)O)C(=O)NC(Cc2ccccc2)C(=O)OC)cc1,CCOC(=O)c1ccc(NC(=S)NC(CC(=O)O)C(=O)NC(Cc2ccccc2)C(=O)OC)cc1,sweet,chemtastes_db,FartDB,,,
CCOC(=O)c1ccc(NC(=O)NC(CC(=O)O)C(=O)NC(Cc2ccccc2)C(=O)OC)cc1,CCOC(=O)c1ccc(NC(=O)NC(CC(=O)O)C(=O)NC(Cc2ccccc2)C(=O)OC)cc1,sweet,chemtastes_db,FartDB,,,
CC(NC(=O)C(N)CC(=O)O)NC(=O)C12CC3CC(CC(C3)C1)C2,CC(NC(=O)C(N)CC(=O)O)NC(=O)C12CC3CC(CC(C3)C1)C2,sweet,chemtastes_db,FartDB,,,
COc1ccc(C2OCc3ccccc3S2)c(C=Cc2ccc([N+](=O)[O-])cc2)c1O,COc1ccc(C2OCc3ccccc3S2)c(C=Cc2ccc([N+](=O)[O-])cc2)c1O,sweet,chemtastes_db,FartDB,,,
N#Cc1ccc(NC(=O)NC(CC(=O)O)c2ccc3c(c2)OCO3)cc1,N#Cc1ccc(NC(=O)NC(CC(=O)O)c2ccc3c(c2)OCO3)cc1,sweet,chemtastes_db,FartDB,,,
NC(=O)c1c(Br)cc(Br)c(CCC(=O)O)c1Br,NC(=O)c1c(Br)cc(Br)c(CCC(=O)O)c1Br,sweet,chemtastes_db,FartDB,,,
COc1ccc(C2Cc3ccccc3CO2)cc1O,COc1ccc(C2Cc3ccccc3CO2)cc1O,sweet,chemtastes_db,FartDB,,,
COc1ccc(CCC(=O)c2cccc(C(=O)O)c2)cc1O,COc1ccc(CCC(=O)c2cccc(C(=O)O)c2)cc1O,sweet,chemtastes_db,FartDB,,,
COc1ccc(C2COc3ccccc3S2)cc1O,COc1ccc(C2COc3ccccc3S2)cc1O,sweet,chemtastes_db,FartDB,,,
COc1ccc(C2COc3ccccc3C2)cc1O,COc1ccc(C2COc3ccccc3C2)cc1O,sweet,chemtastes_db,FartDB,,,
Nc1cc(Cl)ccc1C(=O)CC(N)C(=O)O,Nc1cc(Cl)ccc1C(=O)CC(N)C(=O)O,sweet,chemtastes_db,FartDB,,,
Oc1cccc(C2OCc3ccccc3S2)c1,Oc1cccc(C2OCc3ccccc3S2)c1,sweet,chemtastes_db,FartDB,,,
Oc1ccc(C2OCc3ccccc3S2)cc1O,Oc1ccc(C2OCc3ccccc3S2)cc1O,sweet,chemtastes_db,FartDB,,,
CC(NC(=Nc1ccc2c(c1)OCO2)NCC(=O)O)c1ccccc1,CC(NC(=Nc1ccc2c(c1)OCO2)NCC(=O)O)c1ccccc1,sweet,chemtastes_db,FartDB,,,
CC(NC(=Nc1cc(Cl)cc(Cl)c1)NCC(=O)O)c1ccccc1,CC(NC(=Nc1cc(Cl)cc(Cl)c1)NCC(=O)O)c1ccccc1,sweet,chemtastes_db,FartDB,,,
O=C(O)CNC(=Nc1cc(Cl)cc(Cl)c1)NCc1ccccc1,O=C(O)CNC(=Nc1cc(Cl)cc(Cl)c1)NCc1ccccc1,sweet,chemtastes_db,FartDB,,,
CC(NC(=Nc1cc(Cl)cc(Cl)c1)NCC(=O)O)C1CCCCC1,CC(NC(=Nc1cc(Cl)cc(Cl)c1)NCC(=O)O)C1CCCCC1,sweet,chemtastes_db,FartDB,,,
O=C(O)CNC(=Nc1cc(Cl)cc(Cl)c1)NC1CCCCCCC1,O=C(O)CNC(=Nc1cc(Cl)cc(Cl)c1)NC1CCCCCCC1,sweet,chemtastes_db,FartDB,,,
O=C(O)CNC(=Nc1cc(Cl)cc(Cl)c1)NCC1CCCCC1,O=C(O)CNC(=Nc1cc(Cl)cc(Cl)c1)NCC1CCCCC1,sweet,chemtastes_db,FartDB,,,
O=C(O)CNC(=Nc1cc(Cl)cc(Cl)c1)Nc1cccc2ccccc12,O=C(O)CNC(=Nc1cc(Cl)cc(Cl)c1)Nc1cccc2ccccc12,sweet,chemtastes_db,FartDB,,,
O=C(O)CNC(=Nc1cc(Cl)cc(Cl)c1)NC1CCCCCC1,O=C(O)CNC(=Nc1cc(Cl)cc(Cl)c1)NC1CCCCCC1,sweet,chemtastes_db,FartDB,,,
CCCCC(C)NC(=Nc1cc(Cl)cc(Cl)c1)NCC(=O)O,CCCCC(C)NC(=Nc1cc(Cl)cc(Cl)c1)NCC(=O)O,sweet,chemtastes_db,FartDB,,,
O=C(O)CNC(=Nc1cc(Cl)cc(Cl)c1)Nc1cc(Cl)cc(Cl)c1,O=C(O)CNC(=Nc1cc(Cl)cc(Cl)c1)Nc1cc(Cl)cc(Cl)c1,sweet,chemtastes_db,FartDB,,,
CCOc1ccc(C2CC(=O)c3c(O)cccc3O2)cc1O,CCOc1ccc(C2CC(=O)c3c(O)cccc3O2)cc1O,sweet,chemtastes_db,FartDB,,,
COc1ccc(C2CC(=O)c3c(O)cccc3O2)cc1O,COc1ccc(C2CC(=O)c3c(O)cccc3O2)cc1O,sweet,chemtastes_db,FartDB,,,
CCCOc1ccc(C2CC(=O)c3c(O)cccc3O2)cc1O,CCCOc1ccc(C2CC(=O)c3c(O)cccc3O2)cc1O,sweet,chemtastes_db,FartDB,,,
CCOC(=O)C(NC(=O)C(CC(=O)O)NC(=O)Nc1ccc([N+](=O)[O-])cc1)C(=O)OCC,CCOC(=O)C(NC(=O)C(CC(=O)O)NC(=O)Nc1ccc([N+](=O)[O-])cc1)C(=O)OCC,sweet,chemtastes_db,FartDB,,,
COC(=O)C(NC(=O)C(CC(=O)O)NC(=O)Nc1ccc([N+](=O)[O-])cc1)C(=O)OC,COC(=O)C(NC(=O)C(CC(=O)O)NC(=O)Nc1ccc([N+](=O)[O-])cc1)C(=O)OC,sweet,chemtastes_db,FartDB,,,
COC(=O)C(NC(=O)C(CC(=O)O)NC(=O)Nc1ccc([N+](=O)[O-])cc1)C1CCCCC1,COC(=O)C(NC(=O)C(CC(=O)O)NC(=O)Nc1ccc([N+](=O)[O-])cc1)C1CCCCC1,sweet,chemtastes_db,FartDB,,,
CCOC(=O)C(C)NC(=O)C(CC(=O)O)NC(=O)Nc1ccc([N+](=O)[O-])cc1,CCOC(=O)C(C)NC(=O)C(CC(=O)O)NC(=O)Nc1ccc([N+](=O)[O-])cc1,sweet,chemtastes_db,FartDB,,,
COC(=O)c1ccc(NC(=O)NC(CC(=O)O)C(=O)NC(Cc2ccccc2)C(=O)OC)cc1,COC(=O)c1ccc(NC(=O)NC(CC(=O)O)C(=O)NC(Cc2ccccc2)C(=O)OC)cc1,sweet,chemtastes_db,FartDB,,,
CNS(=O)(=O)c1ccc(NC(=O)NC(CC(=O)O)C(=O)NC(Cc2ccccc2)C(=O)OC)cc1,CNS(=O)(=O)c1ccc(NC(=O)NC(CC(=O)O)C(=O)NC(Cc2ccccc2)C(=O)OC)cc1,sweet,chemtastes_db,FartDB,,,
COC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NC(=S)Nc1ccc([N+](=O)[O-])cc1,COC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NC(=S)Nc1ccc([N+](=O)[O-])cc1,sweet,chemtastes_db,FartDB,,,
COC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NC(=O)Nc1ccc([N+](=O)[O-])cc1,COC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NC(=O)Nc1ccc([N+](=O)[O-])cc1,sweet,chemtastes_db,FartDB,,,
CCCCC(NC(=O)C(CC(=O)O)NC(=O)Nc1ccc([N+](=O)[O-])cc1)C(=O)OC,CCCCC(NC(=O)C(CC(=O)O)NC(=O)Nc1ccc([N+](=O)[O-])cc1)C(=O)OC,sweet,chemtastes_db,FartDB,,,
CCCC(NC(=O)C(CC(=O)O)NC(=O)Nc1ccc([N+](=O)[O-])cc1)C(=O)OC,CCCC(NC(=O)C(CC(=O)O)NC(=O)Nc1ccc([N+](=O)[O-])cc1)C(=O)OC,sweet,chemtastes_db,FartDB,,,
COC(=O)C(C)NC(=O)C(CC(=O)O)NC(=O)Nc1ccc([N+](=O)[O-])cc1,COC(=O)C(C)NC(=O)C(CC(=O)O)NC(=O)Nc1ccc([N+](=O)[O-])cc1,sweet,chemtastes_db,FartDB,,,
COC(=O)C(CC1CCCCC1)NC(=O)C(CC(=O)O)NC(=O)Nc1ccc([N+](=O)[O-])cc1,COC(=O)C(CC1CCCCC1)NC(=O)C(CC(=O)O)NC(=O)Nc1ccc([N+](=O)[O-])cc1,sweet,chemtastes_db,FartDB,,,
O=C(O)CCNC(=O)Oc1ccc([N+](=O)[O-])cc1,O=C(O)CCNC(=O)Oc1ccc([N+](=O)[O-])cc1,sweet,chemtastes_db,FartDB,,,
COC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NC(=O)Nc1ccc(C(C)=O)cc1,COC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NC(=O)Nc1ccc(C(C)=O)cc1,sweet,chemtastes_db,FartDB,,,
NC(=O)c1ccc(NC(=O)NC(CC(=O)O)c2cccc(O)c2)cc1,NC(=O)c1ccc(NC(=O)NC(CC(=O)O)c2cccc(O)c2)cc1,sweet,chemtastes_db,FartDB,,,
NC(=O)c1ccc(NC(=O)NC(CC(=O)O)c2cccnc2)cc1,NC(=O)c1ccc(NC(=O)NC(CC(=O)O)c2cccnc2)cc1,sweet,chemtastes_db,FartDB,,,
CC(NC(=O)C(CC(=O)O)NC(=S)Nc1ccc(C#N)cc1)C(=O)NC(C1CC1)C1CC1,CC(NC(=O)C(CC(=O)O)NC(=S)Nc1ccc(C#N)cc1)C(=O)NC(C1CC1)C1CC1,sweet,chemtastes_db,FartDB,,,
CC(NC(=O)C(CC(=O)O)NC(=S)Nc1ccc(C#N)cc1)c1ccccc1,CC(NC(=O)C(CC(=O)O)NC(=S)Nc1ccc(C#N)cc1)c1ccccc1,sweet,chemtastes_db,FartDB,,,
N#Cc1ccc(NC(=S)NC(CC(=O)O)c2ccccc2)cc1,N#Cc1ccc(NC(=S)NC(CC(=O)O)c2ccccc2)cc1,sweet,chemtastes_db,FartDB,,,
CC(NC(=O)C(CC(=O)O)NC(=O)Nc1ccc(C#N)cc1)C(=O)NC(C1CC1)C1CC1,CC(NC(=O)C(CC(=O)O)NC(=O)Nc1ccc(C#N)cc1)C(=O)NC(C1CC1)C1CC1,sweet,chemtastes_db,FartDB,,,
N#Cc1ccc(NC(=O)NC(CC(=O)O)c2ccc3c(c2)CCC3)cc1,N#Cc1ccc(NC(=O)NC(CC(=O)O)c2ccc3c(c2)CCC3)cc1,sweet,chemtastes_db,FartDB,,,
N#Cc1ccc(NC(=O)NC(CC(=O)O)c2ccccc2[N+](=O)[O-])cc1,N#Cc1ccc(NC(=O)NC(CC(=O)O)c2ccccc2[N+](=O)[O-])cc1,sweet,chemtastes_db,FartDB,,,
N#Cc1ccc(NC(=O)NC(CC(=O)O)c2cccc(O)c2)cc1,N#Cc1ccc(NC(=O)NC(CC(=O)O)c2cccc(O)c2)cc1,sweet,chemtastes_db,FartDB,,,
